datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,windspeed,uvindex,conditions
1/1/2025,69.8,64,66.8,69.8,64,66.8,45.5,24,7,Partially cloudy
1/2/2025,67.9,60.2,63.4,67.9,60.2,63.4,50.2,26.1,7,Clear
1/3/2025,66.3,57,61.9,66.3,57,61.9,54.5,19.3,7,Clear
1/4/2025,66.3,56.9,61.8,66.3,56.9,61.8,49.7,17.1,7,Clear
1/5/2025,65.7,58.2,61.3,65.7,58.2,61.3,53.9,12.5,7,Clear
1/6/2025,68,47.9,62.2,68,47.9,62.2,65.3,8.2,7,Clear
1/7/2025,69.8,62,65.1,69.8,62,65.1,66.6,9.2,6,Partially cloudy
1/8/2025,66.5,60.4,64.1,66.5,60.4,64.1,69.3,14.9,7,"Rain, Partially cloudy"
1/9/2025,68.1,60.5,63.9,68.1,60.5,63.9,76.5,22.6,6,Clear
1/10/2025,68.3,60.5,64.2,68.3,60.5,64.2,78,14.7,7,Clear
1/11/2025,71.1,60.2,64.5,71.1,60.2,64.5,84.3,9.1,7,Clear
1/12/2025,71.5,60.6,66.2,71.5,60.6,66.2,75.5,9,6,"Rain, Partially cloudy"
1/13/2025,68.3,60.6,63.8,68.3,60.6,63.8,74.2,22.8,6,Partially cloudy
1/14/2025,66.3,58.5,62.1,66.3,58.5,62.1,67.9,20.5,7,Clear
1/15/2025,69.9,58.8,63.6,69.9,58.8,63.6,73,14.7,7,Clear
1/16/2025,69.9,60.1,64.2,69.9,60.1,64.2,69.5,9,7,Clear
1/17/2025,69.8,60.6,64.9,69.8,60.6,64.9,61.8,22.9,7,Clear
1/18/2025,66.3,60.4,63.4,66.3,60.4,63.4,57.6,18.2,7,Clear
1/19/2025,66.5,48.9,61.9,66.5,44.6,61.7,50.7,12.7,7,Clear
1/20/2025,68.4,56.9,63,68.4,56.9,63,52.9,7,7,Clear
1/21/2025,68.4,55.1,62.5,68.4,55.1,62.5,57.9,11.4,7,Clear
1/22/2025,71.6,62.3,65.9,71.6,62.3,65.9,57.6,14.7,7,Clear
1/23/2025,69.9,60.4,64.9,69.9,60.4,64.9,66.4,11.3,7,Clear
1/24/2025,71.7,55.6,64.7,71.7,55.6,64.7,64,8.1,7,Clear
1/25/2025,71.1,60.6,65.6,71.1,60.6,65.6,66.5,10.2,6,Partially cloudy
1/26/2025,69.9,59,65.6,69.9,59,65.6,69.7,17.1,7,"Rain, Partially cloudy"
1/27/2025,68,64.2,65.6,68,64.2,65.6,71.1,17.1,6,Partially cloudy
1/28/2025,68.4,64.2,65.9,68.4,64.2,65.9,58.6,21.7,7,Partially cloudy
1/29/2025,68.4,60.6,65.1,68.4,60.6,65.1,60.5,17.1,7,Clear
1/30/2025,69.9,62.3,65.5,69.9,62.3,65.5,54.5,22.6,7,Partially cloudy
1/31/2025,68.2,60.4,63.4,68.2,60.4,63.4,62.3,19.5,8,Clear
2/1/2025,69.9,59,64,69.9,59,64,56.6,10.2,8,Clear
2/2/2025,68.2,57,64.1,68.2,57,64.1,55.3,15.8,8,Clear
2/3/2025,69.9,58.3,63.9,69.9,58.3,63.9,56.6,16.9,8,Clear
2/4/2025,71.7,57.1,63.9,71.7,57.1,63.9,50.6,8.2,8,Clear
2/5/2025,73.4,61.7,66.1,73.4,61.7,66.1,50.8,14.8,8,Partially cloudy
2/6/2025,77,65.7,69.3,77,65.7,69.3,55,16.3,5,Partially cloudy
2/7/2025,73.3,64.2,67.2,73.3,64.2,67.2,65.6,26.2,7,Partially cloudy
2/8/2025,66.3,61.7,63.6,66.3,61.7,63.6,48.4,18.1,8,Clear
